metric,value
pulse_duration_ms,2.000000
sinc_lobes,4
window_type,hamming
fwhm_mm,8.000000
bandwidth_3db_hz,2992.518703
peak_flip_angle_deg,90.000000
T1_ms,1000.000000
T2_ms,100.000000
gradient_arb_units,0.010000
nx_positions,201
spatial_step_mm,0.200000
