Method,Mean,Std,CV
Baseline,16471.654296875,4936.10009765625,0.299672394990921
Phase-only,16471.654296875,4936.10009765625,0.299672394990921
LS Complex,0.9700729597672019,0.17039055517432086,0.17564715463794722
